Traditional	Study Order	Pinyin	Meaning	Story
嚴	0673	yán	strict	The mouth takes the shape of strict, asking "Yan? Severe?" curiously!
曼	0674	màn	drawn out	"Man!" The sun stretched over the eye sharply - drawn out and extended.
慢	0675	màn	slow	The heart stands for slow, shouting "Man!" sharply - a vivid image to remember!
漫	0676	màn	to overflow	"Man!" The slow water overflowed sharply, flooding everything.
環	0677	huán	a Ring	An striking symbol for a ring that asks "Hwan? Circular?" curiously!
還	0678	huán	to give back	Picture to give back taking form - it asks "Hwan? Return?" with vivid energy!
夫	0679	fū	Husband	This character represents husband, asking "Foo? My man?" curiously!
規	0680	guī	Regulations	The strokes unite to show regulations, singing "Gway!" cheerfully!
替	0681	tì	to replace	Picture to replace taking form - it shouts "Ti!" with vivid energy!
失	0682	shī	to lose	"Shi!" The husband's hand sang sadly as he lost everything.
臣	0683	chén	Feudal Official	A striking symbol for feudal official that asks "Chen? Serving?" curiously!
臨	0684	lín	to be about to	This character represents to be about to, asking "Lin? Soon?" curiously!
賢	0685	xián	worthy	Like a shellfish, this character means worthy and asks "Shian? Virtuous?"!
堅	0686	jiān	firm	"Jian!" The earth and official stood firm together - solid and resolute.
力	0687	lì	Power	A striking symbol for power that shouts "Lee!" sharply - a vivid image to remember!
另	0688	lìng	another	An striking symbol for another that shouts "Ling!" sharply - a vivid image to remember!
別	0689	bié	don't	Like a sword, this character means don't and asks "Bieh? Please not?"!
拐	0690	guǎi	to turn	See how the hand forms to turn? It whispers "Gwai" softly reached by outstretched fingers!
男	0691	nán	Male	The field stands for male, asking "Nan? Man?" curiously - a vivid image to remember!
功	0692	gōng	Achievement	This character represents achievement, singing "Gong!" cheerfully!
奴	0693	nú	Slave	Picture slave taking form - it asks "Noo? Serve?" with vivid energy!
努	0694	nǔ	to toil	A striking symbol for to toil that whispers "Noo" softly - a vivid image to remember!
加	0695	jiā	to add	"Jia!" Power from the mouth added cheerfully, increasing the total.
賀	0696	hè	to congratulate	See how the shellfish forms to congratulate? It shouts "Huh!" sharply!
架	0697	jià	Shelf	A shelf add tree yells "Jia!" sharply supporting!
協	0698	xié	to cooperate	"Shieh, should we work together?" Ten sources of power questioned how to cooperate.
行	0699	háng	Line Of Business	"Hang, what trade do you follow?" Each step questioned the line of business.
律	0700	lǜ	Law	This character represents law, shouting "Lyu!" sharply - a vivid image to remember!
復	0701	fù	to recover	The strokes unite to show to recover, shouting "Foo!" sharply!
得	0702	dé	must	Like a hand, this character means must and asks "Duh? Have to?"!
待	0703	dài	to treat	"Dai!" At the temple, each step commanded how to treat guests sharply.
往	0704	wǎng	toward	This character represents toward, whispering "Wang" softly - a vivid image to remember!
微	0705	wēi	tiny	The mountain takes the shape of tiny, asking "Way? So small?" curiously!
街	0706	jiē	Street	The earth takes the shape of street, singing "Jieh!" cheerfully!
德	0707	dé	Morality	"Duh, is this virtuous?" Each step questioned whether going straight showed morality.
聽	0708	tīng	to listen	When the eye meets the ear, they form to listen, singing "Ting!" cheerfully!
廳	0709	tīng	Hall	Picture hall taking form - it sings "Ting!" with vivid energy!
禾	0710	hé	Standing Grain	Picture standing grain taking form - it asks "Huh? Harvest?" with vivid energy!
程	0711	chéng	Journey	The strokes unite to show journey, asking "Cheng? How far?" curiously!
和	0712	hé	Harmony	The mouth takes the shape of harmony, asking "Huh? Peace?" curiously!
移	0713	yí	to shift	"Yi, are we moving?" The grain questioned as many bundles began to shift.
秋	0714	qiū	Autumn	The fire stands for autumn, singing "Chyo!" cheerfully with flickering flames dancing high!
愁	0715	chóu	gloomy	The heart takes the shape of gloomy, asking "Cho? Sad?" curiously!
利	0716	lì	a Profit	The knife takes the shape of a profit, shouting "Lee!" sharply!
香	0717	xiāng	Perfume	Like a sun, this character means perfume and sings "Shyang!"!
季	0718	jì	Seasons	This character represents seasons, shouting "Ji!" sharply - a vivid image to remember!
委	0719	wěi	Committee	This character represents committee, whispering "Way" softly!
秀	0720	xiù	elegant	This character represents elegant, shouting "Shyo!" sharply!
透	0721	tòu	to penetrate	Picture to penetrate taking form - it shouts "Toe!" with vivid energy!
誘	0722	yòu	to entice	"Yo!" Penetrating words enticed sharply, commanding temptation.
歷	0723	lì	Experience	This character represents experience, shouting "Lee!" sharply!
米	0724	mǐ	Rice	A striking symbol for rice that whispers "Mee" softly - a vivid image to remember!
迷	0725	mí	lost	This character represents lost, asking "Mee? Where am I?" curiously!
謎	0726	mí	Riddle	The strokes unite to show riddle, asking "Mee? What answer?" curiously!
類	0727	lèi	the Kind	This character represents the kind, shouting "Lay!" sharply!
竹	0728	zhú	Bamboo	The bamboo stands for bamboo, asking "Zhoo? Growing?" curiously!
笑	0729	xiào	to laugh	"Shyao!" The young bamboo laughed sharply, giggling with joy.
箱	0730	xiāng	Box	With bamboo combined with a box, you get box - "Shyang!" rings out cheerfully!
筆	0731	bǐ	Pen	Picture bamboo beside a hand: that's pen, whispering "Bee" softly!
等	0732	děng	etc.	See how the bamboo forms etc.? It whispers "Dung" softly - a vivid image to remember!
算	0733	suàn	to calculate	"Swan!" Bamboo eyes calculated sharply, computing the answer.
答	0734	dá	to answer	"Da, should I reply?" The bamboo questioned how to fit an answer.
策	0735	cè	Strategy	When the tree meets the bamboo, they form strategy, shouting "Tsuh!" sharply!
人	0736	rén	Person	See how the person forms person? It asks "Ren? Who?" curiously!
囚	0737	qiú	Prisoner	A prisoner person trapped questions "Chyo? Release?" curiously!
份	0738	fèn	Portion	The person stands for portion, shouting "Fen!" sharply - a vivid image to remember!
佔	0739	zhàn	to occupy	Like a person, this character means to occupy and shouts "Zhan!"!
傢	0740	jiā	Furniture	See how the person forms furniture? It sings "Jia!" cheerfully!
你	0741	nǐ	you	The person stands for you, whispering "Nee" softly - a vivid image to remember!
您	0742	nín	you (respectful)	"Nin, sir?" The heart of a person questioned respectfully - addressing you formally.
什	0743	shén	what?	See how the person forms what?? It asks "Shen? Which?" curiously!
條	0744	tiáo	a Strip	The person stands for a strip, asking "Tiao? Thin piece?" curiously!
值	0745	zhí	Value	See how the person forms value? It asks "Zhi? Worth?" curiously!
做	0746	zuò	to make	"Zwoh!" The ancient person commanded sharply to make things.
但	0747	dàn	however	The person takes the shape of however, shouting "Dan!" sharply!
住	0748	zhù	to dwell	"Zhoo!" The master person commanded sharply where to dwell.
位	0749	wèi	Position	See how the person forms position? It shouts "Way!" sharply!
件	0750	jiàn	Piece	The person takes the shape of piece, shouting "Jian!" sharply!
仍	0751	réng	still	The person stands for still, asking "Reng? Yet?" curiously - a vivid image to remember!
他	0752	tā	he	The person takes the shape of he, singing "Ta!" cheerfully - a vivid image to remember!
休	0753	xiū	to rest	"Shyo!" The person by the tree sang cheerfully - time to rest!
信	0754	xìn	Faith	See how the person forms faith? It shouts "Shin!" sharply - a vivid image to remember!
依	0755	yī	to depend on	Like a person, this character means to depend on and sings "Yi!"!
例	0756	lì	Example	Like a person, this character means example and shouts "Lee!"!
個	0757	gè	individual	See how the person forms individual? It shouts "Guh!" sharply!
健	0758	jiàn	healthy	Like a person, this character means healthy and shouts "Jian!"!
停	0759	tíng	to halt	"Ting, should we stop?" The person at the pavilion questioned whether to halt.
倒	0760	dǎo	upside down	The person takes the shape of upside down, whispering "Dao" softly!
仁	0761	rén	Benevolence	The person takes the shape of benevolence, asking "Ren? Kind?" curiously!
優	0762	yōu	excellent	Like a person, this character means excellent and sings "Yo!"!
傷	0763	shāng	a Wound	Like a person, this character means a wound and sings "Shang!"!
保	0764	bǎo	to safeguard	Like a person, this character means to safeguard and whispers "Bao"!
堡	0765	bǎo	Fort	See how the earth forms fort? It whispers "Bao" softly - a vivid image to remember!
付	0766	fù	to pay	"Foo!" The person's hand commanded sharply - time to pay.
府	0767	fǔ	Government Office	A striking symbol for government office that whispers "Foo" softly!
俯	0768	fǔ	to bow one's head	See how the person forms to bow one's head? It whispers "Foo" softly!
代	0769	dài	to substitute for	"Dai!" A person with a weapon commanded sharply to substitute one for another.
袋	0770	dài	Bag	A bag clothes substitute yells "Dai!" sharply holding!
化	0771	huà	to transform	"Hwa!" The person changed form sharply, beginning to transform.
花	0772	huā	Flower	The grass takes the shape of flower, singing "Hwa!" cheerfully!
貨	0773	huò	Commodities	Like a shellfish, this character means commodities and shouts "Hwoh!"!
何	0774	hé	what/which/who/where/why?	The mouth and person unite to create what/which/who/where/why?, asking "Huh? Who where?" curiously!
便	0775	biàn	convenient	See how the person forms convenient? It shouts "Bian!" sharply!
丈	0776	zhàng	100 Chinese Inches	A striking symbol for 100 chinese inches that shouts "Zhang!" sharply!
使	0777	shǐ	to use	The person stands for to use, whispering "Shi" softly - a vivid image to remember!
久	0778	jiǔ	long time	The person takes the shape of long time, whispering "Jyo" softly!
畝	0779	mǔ	Chinese Acre	Like a field, this character means chinese acre and whispers "Moo"!
丙	0780	bǐng	third	A striking symbol for third that whispers "Bing" softly - a vivid image to remember!
柄	0781	bǐng	a Handle	The tree takes the shape of a handle, whispering "Bing" softly!
肉	0782	ròu	Meat	With a person combined with a meat, you get meat - "Ro!" rings out sharply!
腐	0783	fǔ	rotten	Like a meat, this character means rotten and whispers "Foo"!
眾	0784	zhòng	Multitude	See how the people forms multitude? It shouts "Zhong!" sharply!
坐	0785	zuò	to sit	Picture earth beside a people: that's to sit, shouting "Zwoh!" sharply!
座	0786	zuò	Seat	A seat building sit yells "Zwoh!" sharply positioned!
檢	0787	jiǎn	to examine	The tree takes the shape of to examine, whispering "Jian" softly!
臉	0788	liǎn	a Face	The strokes unite to show a face, whispering "Lian" softly - a vivid image to remember!
來	0789	lái	to come	The strokes unite to show to come, asking "Lai? Arriving?" curiously!
麥	0790	mài	Wheat	A striking symbol for wheat that shouts "Mai!" sharply - a vivid image to remember!
喝	0791	hē	to drink	"Huh!" The mouth consumed wheat cheerfully, drinking it down.
渴	0792	kě	thirsty	Like water, this character means thirsty and whispers "Kuh"!
任	0793	rèn	to appoint	"Ren!" The person with the burden commanded sharply whom to appoint.
廷	0794	tíng	Royal Court	The strokes unite to show royal court, asking "Ting? Palace?" curiously!
庭	0795	tíng	Court Of Law	The strokes unite to show court of law, asking "Ting? Trial?" curiously!
以	0796	yǐ	by means of	The strokes unite to show by means of, whispering "Yi" softly!
似	0797	sì	similar	"Sih!" A person by similar means commanded sharply - they were alike.
併	0798	bìng	to combine	"Bing!" The person took each piece and combined them sharply.
拼	0799	pīn	to piece together	Like a hand, this character means to piece together and sings "Pin!"!
呂	0800	lǚ	Spine	Picture spine taking form - it whispers "Lyu" with vivid energy!
侶	0801	lǚ	an Associate	Like a person, this character means an associate and whispers "Lyu"!
榮	0802	róng	Glory	Picture grass beside fire: that's glory, asking "Rong? Honor?" curiously!
勞	0803	láo	Labor	See how the fire forms labor? It asks "Lao? Working?" curiously!
營	0804	yíng	a Camp	Like fire, this character means a camp and asks "Ying? Army?"!
善	0805	shàn	virtuous	Like a mouth, this character means virtuous and shouts "Shan!"!
年	0806	nián	Year	Picture year taking form - it asks "Nian? How long?" with vivid energy!
夜	0807	yè	Night	"Yeh!" The person became like liquid in the darkness - it was night.
液	0808	yè	Liquid	See how the water forms liquid? It shouts "Yeh!" sharply like ripples spreading across a pond!
喚	0809	huàn	to call out	The mouth stands for to call out, shouting "Hwan!" sharply spoken through parted lips!
換	0810	huàn	to exchange	The hand takes the shape of to exchange, shouting "Hwan!" sharply!
旅	0811	lǚ	to travel	This character represents to travel, whispering "Lyu" softly!
施	0812	shī	to execute	"Shi!" To travel was to execute the plan cheerfully.
游	0813	yóu	to go swimming	The water takes the shape of to go swimming, asking "Yo? Swimming?" curiously!
遊	0814	yóu	to tour	"Yo, are we wandering?" The walk through water questioned the tour route.
勿	0815	wù	not	The strokes unite to show not, shouting "Woo!" sharply - a vivid image to remember!
忽	0816	hū	suddenly	See how the heart forms suddenly? It sings "Hoo!" cheerfully!
物	0817	wù	Thing	Picture thing taking form - it shouts "Woo!" with vivid energy!
易	0818	yì	easy	Picture a moon beside a sun: that's easy, shouting "Yi!" sharply!
賜	0819	cì	to grant	The shellfish stands for to grant, shouting "Tsih!" sharply!
屍	0820	shī	Corpse	Like a body, this character means corpse and sings "Shi!" - a vivid image to remember!
尼	0821	ní	Nun	Picture nun taking form - it asks "Nee? Religious?" with vivid energy!
呢	0822	ne	Woolen Cloth	Like a mouth, this character means woolen cloth and calls "nuh"!
泥	0823	ní	Mud	The earth and water unite to create mud, asking "Nee? Wet earth?" curiously!
屋	0824	wū	Habitation	A striking symbol for habitation that sings "Woo!" cheerfully!
握	0825	wò	to grip	"Woh!" The hand formed a house shape, gripping sharply.
居	0826	jū	to reside	"Jyu!" The ancient corpse sang cheerfully where it would reside.
鋸	0827	jù	a Saw	The gold stands for a saw, shouting "Jyu!" sharply - a vivid image to remember!
層	0828	céng	Story	Picture story taking form - it asks "Tseng? Which floor?" with vivid energy!
局	0829	jú	Bureau	This character represents bureau, asking "Jyu? Office?" curiously!
戶	0830	hù	Door	The door takes the shape of door, shouting "Hoo!" sharply - a vivid image to remember!
房	0831	fáng	Domicile	See how the door forms domicile? It asks "Fang? House?" curiously!
雇	0832	gù	to hire	"Goo!" The bird at the door commanded sharply whom to hire.
顧	0833	gù	to look back	Picture to look back taking form - it shouts "Goo!" with vivid energy!
示	0834	shì	to show	A striking symbol for to show that shouts "Shi!" sharply - a vivid image to remember!
社	0835	shè	Society	The earth stands for society, shouting "Shuh!" sharply - a vivid image to remember!
視	0836	shì	to inspect	"Shi!" Show me what you see - inspect it sharply!
福	0837	fú	Happiness	"Foo, are we blessed?" One mouth shown questioned happiness.
禁	0838	jìn	to prohibit	"Jin!" Show the forest the sharp command to prohibit entry.
襟	0839	jīn	Front of a Garment	The strokes unite to show front of a garment, singing "Jeen!" cheerfully!
宗	0840	zōng	Religion	Like a roof, this character means religion and sings "Zong!"!
崇	0841	chóng	to worship	"Chong, should we revere this?" The mountain religion questioned worship.
祭	0842	jì	to offer sacrifice	A striking symbol for to offer sacrifice that shouts "Ji!" sharply!
察	0843	chá	to scrutinize	"Cha, should we examine it?" The roof over the sacrifice questioned scrutiny.
擦	0844	cā	to scrub	"Tsa!" The hand scrutinized cheerfully while scrubbing and wiping.
由	0845	yóu	Wherefore	The field stands for wherefore, asking "Yo? Why?" curiously!
抽	0846	chōu	to draw out	Like a hand, this character means to draw out and sings "Cho!"!
油	0847	yóu	Oil	The water stands for oil, asking "Yo? Lubricating?" curiously!
甲	0848	jiǎ	first	Like a shell, this character means first and whispers "Jia"!
押	0849	yā	to pawn	"Ya!" Her hand pawned the item cheerfully, making a deposit.
申	0850	shēn	to express	"Shen!" In the middle of the day, he expressed himself cheerfully.
伸	0851	shēn	to extend	"Shen!" The person extended their body cheerfully, stretching out.
神	0852	shén	Gods	Picture gods taking form - it asks "Shen? Divine?" with vivid energy!
果	0853	guǒ	Fruit	When the tree meets the field, they form fruit, whispering "Gwoh" softly!
課	0854	kè	Lesson	A striking symbol for lesson that shouts "Kuh!" sharply - a vivid image to remember!
顆	0855	kē	Granule	Picture granule taking form - it sings "Kuh!" with vivid energy!
斤	0856	jīn	a Catty	This character represents a catty, singing "Jeen!" cheerfully!
所	0857	suǒ	a Place	See how the door forms a place? It whispers "Swoh" softly - a vivid image to remember!
近	0858	jìn	near	The strokes unite to show near, shouting "Jin!" sharply - a vivid image to remember!
斬	0859	zhǎn	hew	A striking symbol for hew that whispers "Zhan" softly - a vivid image to remember!
暫	0860	zhàn	temporary	See how the sun forms temporary? It shouts "Zhan!" sharply as sunlight streams across the sky!
漸	0861	jiàn	gradually	Like water, this character means gradually and shouts "Jian!"!
質	0862	zhì	Quality	See how the shellfish forms quality? It asks "Zhi? Grade?" curiously!
斥	0863	chì	to reprimand	"Chi!" The ax and dot commanded a sharp reprimand, scolding loudly.
訴	0864	sù	to accuse	The strokes unite to show to accuse, shouting "Soo!" sharply!
乍	0865	zhà	for the first time	"Zha!" For the first time, it happened sharply and initially.
怎	0866	zěn	how?	See how the heart forms how?? It whispers "Zen" softly - a vivid image to remember!
昨	0867	zuó	Yesterday	"Zwoh, was that the past?" The sun questioned yesterday curiously.
作	0868	zuò	to do	Like a person, this character means to do and shouts "Zwoh!"!
雪	0869	xuě	the Snow	The rain takes the shape of the snow, whispering "Shueh" softly!
急	0870	jí	anxious	See how the heart forms anxious? It asks "Ji? Worried?" curiously!
尋	0871	xún	to seek	The roof stands for to seek, asking "Shun? Looking for?" curiously!
婦	0872	fù	Married Woman	"Foo!" The woman with the broom commanded sharply - she was a married woman, a wife.
掃	0873	sǎo	to sweep	The hand stands for to sweep, whispering "Sao" softly reached by outstretched fingers!
錄	0874	lù	to record	"Loo!" Gold and broom commanded sharply to record and document everything.
碌	0875	lù	commonplace	Like a stone, this character means commonplace and shouts "Loo!"!
爭	0876	zhēng	to contend	"Zheng!" The claw and hand fought cheerfully, contending for victory.
淨	0877	jìng	clean	Like water, this character means clean and shouts "Jing!" like ripples spreading across a pond!
事	0878	shì	Matter	See how the hand forms matter? It shouts "Shi!" sharply reached by outstretched fingers!
唐	0879	táng	Tang	Like a mouth, this character means tang and asks "Tang? Dynasty?"!
糖	0880	táng	Sugar	A striking symbol for sugar that asks "Tang? Sweet?" curiously!
康	0881	kāng	hale	The roof stands for hale, singing "Kang!" cheerfully - a vivid image to remember!
尹	0882	yǐn	Overseer	The hand stands for overseer, whispering "Yin" softly reached by outstretched fingers!
伊	0883	yī	Queen Elizabeth	The person stands for queen elizabeth, singing "Yi!" cheerfully!
君	0884	jūn	Monarch	The mouth stands for monarch, singing "June!" cheerfully spoken through parted lips!
裙	0885	qún	Skirt	The strokes unite to show skirt, asking "Chun? Dress?" curiously!
群	0886	qún	Crowd	Picture crowd taking form - it asks "Chun? Many?" with vivid energy!
而	0887	ér	and	Picture and taking form - it asks "Er? Also?" with vivid energy!
需	0888	xū	to need	"Shyu!" Rain sang cheerfully - it was needed and required.
儒	0889	rú	Confucian	Like a person, this character means confucian and asks "Roo? Scholar?"!
瑞	0890	ruì	auspicious	Like a mountain, this character means auspicious and shouts "Rway!"!
端	0891	duān	upright	Like a mountain, this character means upright and sings "Dwan!"!
曲	0892	qū	bent	This character represents bent, singing "Chu!" cheerfully - a vivid image to remember!
斗	0893	dǒu	Big Dipper	Picture big dipper taking form - it whispers "Doe" with vivid energy!
料	0894	liào	Material	This character represents material, shouting "Liao!" sharply!
科	0895	kē	Academic Discipline	"Kuh!" The grain in the dipper sang cheerfully - an academic discipline in the field!
用	0896	yòng	to utilize	The door stands for to utilize, shouting "Yong!" sharply - a vivid image to remember!
昔	0897	xī	former times	"Shee!" The sun spoke of former times, ancient days long ago.
借	0898	jiè	to borrow	"Jyeh, can I borrow this?" A person questioned, asking for a loan.
錯	0899	cuò	mistake	"Tswoh!" Metal made the wrong move - an error, a mistake!
散	0900	sǎn	to scatter	"San!" The moon commanded to scatter and disperse cheerfully!
撒	0901	sǎ	to sprinkle	"Sa!" The hand sprinkled and scattered things about sharply!
備	0902	bèi	to prepare	"Bay!" A person with arrows prepared sharply, getting ready!
廿	0903	niàn	twenty	The lines stand for twenty, singing "Nyan!" cheerfully - a vivid image to remember!
席	0904	xí	mat	"Shee!" The towel mat was spread out for sitting.
度	0905	dù	degree	A striking symbol for degree that shouts "Doo!" sharply - a vivid image to remember!
渡	0906	dù	to cross	"Doo!" Water crossed the degree mark - ferrying to the other side!
半	0907	bàn	half	"Ban!" The eight was split - only half remained!
伴	0908	bàn	companion	The person stands for companion, calling out "Ban!" - a vivid image to remember!
胖	0909	pàng	fat	"Pahng!" Half the body was fat and plump flesh!
判	0910	pàn	to judge	"Pan!" The knife split things in half to judge sharply!
眷	0911	juàn	family	"Jwan!" The fist protected eyes - caring for family!
拳	0912	quán	fist	"Chwan!" Hands formed a fist, clenched tight!
勝	0913	shèng	victory	The moon and muscles won - victory and success!
片	0914	piàn	slice	"Pyan!" A tree was cut into a thin slice, a piece!
版	0915	bǎn	edition	"Ban!" Reverse slice made a printing edition, a version!
妝	0916	zhuāng	makeup	A striking symbol for makeup that calls "Jwahng!" - a vivid image to remember!
壯	0917	zhuàng	robust	"Jwahng!" The big village士 sang cheerfully - strong and robust!
莊	0918	zhuāng	village	"Jwahng!" Grass grew on the big village, a manor!
裝	0919	zhuāng	clothing	"Jwahng!" Clothing covered the village - outfits and dress!
將	0920	jiàng	general	"Jyahng!" The general commanded sharply - a military leader!
之	0921	zhī	possessive	"Zhi!" A drop bent down, showing possession - of!
乏	0922	fá	lacking	"Fah!" The丿 was lacking - deficient and scarce!
眨	0923	zhǎ	to blink	"Jah!" Eyes blinked sharply with each flashing moment!
不	0924	bù	not	Picture not taking form - it shouts "Boo!" with vivid energy!
否	0925	fǒu	to negate	"Foh!" The mouth said not - to deny and negate!
杯	0926	bēi	cup	"Bay!" A tree was carved into a cup for drinking!
矢	0927	shǐ	arrow	The arrow takes the shape of arrow, shouting "Shi!" sharply!
族	0928	zú	clan	This character represents clan, calling out "Dzoo!" - a vivid image to remember!
知	0929	zhī	to know	"Zhi!" The arrow hit the mouth sharply - to know and understand!
智	0930	zhì	wisdom	"Zhi!" The sun rose over knowledge - wisdom and intelligence!
矛	0931	máo	spear	"Mao!" A spear with a long shaft commanded sharply!
柔	0932	róu	soft	"Roh!" A spear bent like soft wood - gentle and flexible!
揉	0933	róu	to knead	"Roh!" Hands worked the soft dough, kneading it gently!
務	0934	wù	affair	"Woo!" Strength wielded the spear for affairs - duties and tasks!
霧	0935	wù	fog	"Woo!" Rain created fog around affairs - mist and haze!
予	0936	yǔ	to give	Picture to give taking form - it shouts "Yoo!" with vivid energy!
序	0937	xù	sequence	"Shyoo!" They questioned the order in the house - sequence!
預	0938	yù	in advance	"Yoo!" The頁 prepared in advance - beforehand!
野	0939	yě	wild	"Yeh!" Inside the village里 was野 countryside - wild and rustic!
班	0940	bān	class	The strokes unite to show class, calling out "Ban!" - a vivid image to remember!
弓	0941	gōng	bow	"Gong!" The bow curved cheerfully - weapon for arrows!
引	0942	yǐn	to lead	The stroke takes the shape of to lead, calling out "Yin!" - a vivid image to remember!
強	0943	qiáng	strong	"Chyang!" The bow虫 commanded sharply - strong and powerful!
弱	0944	ruò	weak	"Rwoh!" Two bows bent down drooping - weak and feeble!
彈	0945	dàn	bullet	"Dan!" The bow launched bullets sharply - ammunition!
佛	0946	fó	Buddha	"Foh!" A person弓 questioned - Buddha, the enlightened one!
費	0947	fèi	to cost	"Fay!" Money費 and shellfish cost dearly - expenses!
弟	0948	dì	younger brother	"Dee!" The bound younger brother questioned curiously!
第	0949	dì	sequence	Like bamboo, this character means sequence and calls "Dee!"!
巧	0950	qiǎo	skillful	"Chyao!" Work done skillfully questioned curiously!
身	0951	shēn	body	The body takes the shape of body, calling out "Shen!" - a vivid image to remember!
射	0952	shè	to shoot	"Shuh!" The body身 shot arrows from the inch寸 sharply!
謝	0953	xiè	to thank	"Shyeh!" Words身 expressed thanks for shooting - gratitude!
老	0954	lǎo	old	"Lao!" The老 aged one bent down drooping - elderly!
考	0955	kǎo	to test	"Kao!" The old one老 tested sharply - examination!
烤	0956	kǎo	to roast	This character represents to roast, singing "Kao!" cheerfully!
孝	0957	xiào	filial piety	Picture filial piety taking form - it calls "Shyao!" with vivid energy!
教	0958	jiāo	to teach	Picture to teach taking form - it shouts "Jyao!" with vivid energy!
者	0959	zhě	one who	"Juh!" The old者 one questioned - one who does!
著	0960	zhe	particle	"Juh" - a particle marking the manifest eye目!
豬	0961	zhū	pig	"Joo!" The animal犬 manifested者 as a pig - swine!
追	0962	zhuī	to chase	The strokes unite to show to chase, calling out "Jway!" - a vivid image to remember!
帥	0963	shuài	commander	"Shwigh!" The towel巾 commanded as a handsome commander!
師	0964	shī	teacher	"Shi!" The towel巾 taught at the market - a master instructor!
獅	0965	shī	lion	This character represents lion, calling out "Shi!" - a vivid image to remember!
官	0966	guān	official	This character represents official, calling out "Gwan!" - a vivid image to remember!
管	0967	guǎn	to manage	The strokes unite to show to manage, calling out "Gwan!" - a vivid image to remember!
父	0968	fù	father	This character represents father, shouting "Foo!" sharply - a vivid image to remember!
交	0969	jiāo	to intersect	"Jyao!" Lines crossed to intersect - to交 meet!
效	0970	xiào	effect	"Shyao!" Intersection交 and力 created效 effects sharply!
較	0971	jiào	to compare	"Jyao!" The car車 compared intersections交 - relatively!
校	0972	xiào	school	The strokes unite to show school, calling out "Shyao!" - a vivid image to remember!
足	0973	zú	foot	The leg and foot unite to create foot, asking "Dzoo!" curiously!
跑	0974	pǎo	to run	A striking symbol for to run that calls "Pao!" - a vivid image to remember!
跳	0975	tiào	to jump	The strokes unite to show to jump, singing "Tyao!" cheerfully!
路	0976	lù	road	"Loo!" Feet足 walked the各 road - pathway!
露	0977	lù	dew	This character represents dew, calling out "Loo!" - a vivid image to remember!
骨	0978	gǔ	bone	This character represents bone, calling out "Goo!" - a vivid image to remember!
滑	0979	huá	slippery	"Hwah!" Water水 made bones骨 slippery - smooth and slick!
過	0980	guò	to pass	"Gwoh!" Walking辵 by the骨 bones - to過 pass through!
阿	0981	ā	prefix	"Ah!" The mound阝 questioned - a prefix for names!
啊	0982	ā	ah	"Ah!" The mouth口 on the mound阝 exclaimed - interjection!
際	0983	jì	border	"Jee!" The mound阝 marked borders祭 - edge and boundary!
險	0984	xiǎn	danger	"Shyan!" The mound阝 at険 険 険 險 險 險 險 險 險 險 險 険 was dangerous - perilous!
隨	0985	suí	to follow	Picture to follow taking form - it calls "Sway!" with vivid energy!
陽	0986	yáng	yang	"Yang!" The mound阝 faced the sun - bright yang energy!
陳	0987	chén	to display	"Chun!" The mound displayed items in the east - to arrange and exhibit!
防	0988	fáng	to prevent	Picture to prevent taking form - it calls "Fahng!" with vivid energy!
附	0989	fù	to attach	"Foo!" The mound attached付 to things - to affix and append!
院	0990	yuàn	courtyard	This character represents courtyard, calling out "Yuan!" - a vivid image to remember!
陣	0991	zhèn	battle array	The lines takes the shape of battle array, calling out "Jun!"!
隊	0992	duì	team	The strokes unite to show team, calling out "Dway!" - a vivid image to remember!
降	0993	jiàng	to descend	"Jyahng!" The mound descended downward - to fall from height!
階	0994	jiē	stairs	"Jyeh!" The mound had steps going up - staircase!
穴	0995	xué	cave	Picture cave taking form - it asks "Shueh!" with vivid energy!
究	0996	jiū	to investigate	"Jyo!" Nine paths explored the cave - to research thoroughly!
突	0997	tū	sudden	"Too!" Dogs burst suddenly from caves - abrupt and突!
空	0998	kōng	empty	An striking symbol for empty that calls "Kohng!" - a vivid image to remember!
控	0999	kòng	to control	A striking symbol for to control that calls "Kohng!" - a vivid image to remember!
邊	1000	biān	Border	Along the border road, your nose catches the scent, singing "Bian!" cheerfully as you cross the edge!
深	1001	shēn	deep	"Shen!" she sang cheerfully as water depths grew deeper - diving down into the profound darkness!
探	1002	tàn	a Spy	This character represents a spy, shouting "Tan!" sharply - a vivid image to remember!
丘	1003	qiū	Hill	The hill rises like a hobbit-home, singing "Chyo!" cheerfully round and grassy!
兵	1004	bīng	Troops	The strokes unite to show troops, singing "Bing!" cheerfully!
絲	1005	sī	Silk	The silk stands for silk, singing "Si!" cheerfully - a vivid image to remember!
線	1006	xiàn	Line	A line of silk commands "Shian!" sharply, connecting thread to thread in perfect rows!
維	1007	wéi	to maintain	The silk takes the shape of to maintain, asking "Way? How to hold together?" curiously!
羅	1008	luó	Silk Gauze	Like silk, this character means silk gauze and asks "Lwo? Strong enough?"!
續	1009	xù	to continue	To continue the silk sale, you command "Shu!" sharply, extending the thread further!
統	1010	tǒng	continuum	A continuum of silk flows, bending down drooping like "Tong" - all unified together!
給	1011	gěi	to give	The silk takes the shape of to give, whispering "Gay" softly!
結	1012	jié	to tie	See how the silk forms to tie? It asks "Jieh? Married?" curiously!
終	1013	zhōng	end	The end of silk and winter sings "Zhong!" cheerfully as threads finish!
